id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19680431,Counting sheep guest suites #3 Adult only.,12298363,Heather And Joey,Albert,Hillsborough,45.94188,-64.66556,Entire home/apt,140,2,58,2019-09-04,1.45,3,286,0,
19700756,Family friendly two bedroom apartment,138800051,Samantha And Shawn,York,Fredericton,45.98037,-66.5925,Entire home/apt,78,2,66,2020-11-24,2.22,1,0,8,
19701056,Spacious camper on oceanfront lot,58779834,Fannie,Gloucester,Beresford,47.84362,-65.74988,Entire home/apt,95,7,25,2018-06-30,0.62,2,0,0,
19737122,"""Chambre bateaux"" avec vue sur la mer!",138381527,Elisabeth,Gloucester,Caraquet,47.79524,-64.90331,Private room,68,1,14,2019-09-13,0.33,2,84,0,
19766464,Mountain Getaway with Large Cedar Hot Tub,120116383,Kara And Derek,Albert,Hillsborough,45.844887,-64.77317,Entire home/apt,249,1,462,2019-09-11,9.30,2,230,116,
19800118,Tabusintac Chalets,127544088,Rose,Northumberland,Alnwick,47.34234,-65.01323,Entire home/apt,148,1,40,2021-05-24,0.77,2,365,15,
19826180,Yellow Door on Second,131892140,Su,Westmorland,Shediac,46.23583,-64.51689,Entire home/apt,129,7,8,2017-08-16,0.16,1,0,2,
19873218,✔Cozy Downtown Suite 6,36814869,Brian + Connie,Westmorland,Moncton,46.09459,-64.77793,Entire home/apt,75,1,196,2020-03-07,3.90,6,242,14,
19875555,The Wright House,94385933,Nadine,Charlotte,Pennfield,45.06721,-66.74153,Entire home/apt,80,3,49,2019-10-08,0.95,1,147,0,
19891696,Brooks B&B Room 202 Historical Romantic Stay,138721644,Yun Qing,Kings,Sussex,45.72728,-65.50458,Private room,126,1,1,2017-07-22,0.02,3,0,0,
19924458,Acadie Escape,141147775,Sylvain,Kent,Richibucto,46.67929,-64.8648,Entire home/apt,140,2,145,2019-08-21,2.81,1,332,0,
19939920,Relaxing place,92600156,Yves,Westmorland,Shediac,46.26119,-64.6113,Private room,112,1,1,2017-08-20,0.02,1,180,0,
19999658,La petite perle,141919794,Denis,Gloucester,Shippagan,47.79165,-64.64236,Entire home/apt,125,3,41,2021-08-10,0.80,1,349,9,
20013887,Plain Jane LANE,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05302,Private room,85,1,101,2019-10-21,2.54,10,181,0,
20054648,"Alvin's ""Attic"" 1 bdrm apt in old Saint John",99381199,Alvin,Saint John,City of Saint John,45.28555,-66.05589,Entire home/apt,76,1,213,2021-09-03,4.13,6,357,46,
20093176,Waterfront Cottage,142496563,Ella Mae,York,Manners Sutton,45.72503,-67.02569,Entire home/apt,130,2,55,2019-09-29,1.07,1,268,12,
20149019,Dominion Hill Country Inn - Lupine Cottage,137824855,Michael At Dominion Hill,Charlotte,Saint Patrick,45.25458,-67.01067,Private room,143,1,18,2021-09-06,0.36,10,220,2,
